"Alabama",548,4849377,11
"Alaska",67,736732,50
"Arizona",3090,6731484,46
"Arkansas",743,2966369,5
"California",5471,38802500,14
"Colorado",769,355866,14
"Connecticut",502,3596677,14
"Delaware",84,935614,9
"District of Columbia",107,658893,16
"Florida",3265,19893297,16
"Georgia",887,10097343,9
"Hawaii",121,1419561,9
"Idaho",218,1634464,13
"Illinois",1648,12880580,13
"Indiana",850,6596855,13
"Iowa",878,3107126,28
"Kansas",695,2904021,24
"Kentucky",909,4413457,21
"Louisiana",622,4649676,13
"Maine",295,1330089,22
"Maryland",340,5976407,6
"Massachusetts",589,6745408,9
"Michigan",2137,9909877,22
"Minnesota",642,5457173,12
"Mississippi",314,994079,10
"Missouri",1291,6063589,21
"Montana",234,1023579,23
"Nebraska",461,1881503,25
"Nevada",729,2839099,26
"New Hampshire",120,1326813,9
"New Jersey",1021,8938175,11
"New Mexico",315,2085572,15
"New York",1997,19746227,10
"North Carolina",1164,9943964,12
"North Dakota",96,739482,13
"Ohio",1404,11594163,12
"Oklahoma",1382,3878051,36
"Oregon",847,3970239,21
"Pennsylvania",1849,12787209,14
"Rhode Island",202,1055173,19
"South Carolina",449,4832482,9
"South Dakota",159,853175,19
"Tennessee",1161,6549352,18
"Texas",5221,26956958,19
"Utah",605,2942902,21
"Vermont",161,626562,26
"Virginia",632,8326289,8
"Washington",1362,7061530,19
"West Virginia",852,1850326,46
"Wisconsin",735,5757564,13
"Wyoming",75,584153,13